Iteration,orbitalEnergies,exchangePotential,correlationPotential,exchangeEnergy,correlationEnergy,totalEnergy
1,[-3.37603093 -0.35430116],-2.45411230385,-0.239157378127,-1.84058422789,-0.211101552104,-12.8038032086
2,[-4.16304316 -0.25612069],-2.68861223112,-0.244305725094,-2.01645917334,-0.215956598442,-14.5504260114
3,[-4.13249645 -0.22271309],-2.91656258665,-0.248930884147,-2.18742193999,-0.220334087779,-14.7736136754
4,[-3.97552741 -0.21505502],-3.01722310817,-0.250838233884,-2.26291733112,-0.222144299967,-14.5968891554
5,[-3.90093749 -0.21400066],-3.05711042332,-0.252216919737,-2.29283281749,-0.22344057329,-14.543232235
6,[-3.85904137 -0.20704451],-3.06676409821,-0.252694599853,-2.30007307366,-0.223888477591,-14.4772834316
7,[-3.84639193 -0.20390811],-3.06200337042,-0.252522771998,-2.29650252781,-0.223729517843,-14.4367438114
8,[-3.85028289 -0.20456778],-3.0556234141,-0.252257067328,-2.29171756058,-0.22348207227,-14.4301999386
9,[-3.85675767 -0.20590536],-3.05294654353,-0.252153116988,-2.28970990765,-0.223384726121,-14.439079523
10,[-3.85957928 -0.20644346],-3.05316043686,-0.25217054767,-2.28987032764,-0.223400545128,-14.446333352
11,[-3.85939457 -0.2063573 ],-3.05403200246,-0.252209464405,-2.29052400184,-0.223436693954,-14.4479641204
12,[-3.85850693 -0.20615965],-3.05446796264,-0.252226319534,-2.29085097198,-0.223452458058,-14.4468617748
13,[-3.85805947 -0.20607477],-3.05447423318,-0.252224992302,-2.29085567488,-0.223451287865,-14.4457973572
14,[-3.85805257 -0.20608229],-3.0543595201,-0.252219677703,-2.29076964008,-0.223446357087,-14.445509047
15,[-3.85817003 -0.20610951],-3.05429477708,-0.252217127711,-2.29072108281,-0.223443974592,-14.4456397068
16,[-3.8582363  -0.20612233],-3.05429032304,-0.25221717307,-2.29071774228,-0.223444007462,-14.4457894297
17,[-3.8582408  -0.20612195],-3.05430537784,-0.252217887432,-2.29072903338,-0.223444669678,-14.445835928
18,[-3.85822535 -0.20611828],-3.05431479929,-0.252218264853,-2.29073609947,-0.223445022029,-14.4458208436
19,[-3.85821571 -0.20611638],-3.05431587407,-0.252218277665,-2.29073690555,-0.223445035261,-14.445800053
20,[-3.85821462 -0.20611633],-3.05431391691,-0.25221818273,-2.29073543768,-0.223444947325,-14.4457927915
21,[-3.85821663 -0.20611682],-3.05431256033,-0.252218127544,-2.29073442025,-0.22344489584,-14.4457944476
